Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,species_2
0.07,0.2,-0.33,0.5,Neopsylla teratura
0,0.23,-0.43,0.47,Nipponovalgus angusticollis
-0.01,0.23,-0.45,0.46,Nola cucullatella
-0,0.22,-0.43,0.43,Nomada ginran
-0.04,0.23,-0.51,0.4,Nomada luteola
0.02,0.23,-0.41,0.48,Nomada rufipes
0.04,0.22,-0.38,0.49,Nomada shepparadana okubira
-0.06,0.2,-0.47,0.34,Nonartha cyaneum
0.03,0.21,-0.38,0.47,Nosopsyllus aralis
-0.03,0.19,-0.41,0.34,Nosopsyllus consimilis
0.1,0.21,-0.29,0.53,Nosopsyllus fasciatus
-0.02,0.21,-0.45,0.4,Nosopsyllus fidus
0.03,0.22,-0.4,0.48,Nosopsyllus iranus
0.04,0.19,-0.35,0.43,Nosopsyllus laeviceps
-0.02,0.21,-0.44,0.39,Nosopsyllus mokrzeckyi
0.05,0.21,-0.38,0.49,Nosopsyllus tersus
-0.02,0.22,-0.48,0.4,Nosopsyllus turkmenicus
0,0.23,-0.44,0.46,Notoreas cataphyrrha
-0.08,0.21,-0.52,0.32,Nysius groenlandicus
0.04,0.21,-0.38,0.47,Ochlodes venata
-0.02,0.22,-0.48,0.42,Odontopera bidentata
-0.06,0.22,-0.51,0.37,Oedemera flavipes
0.03,0.22,-0.4,0.47,Oedemera lurida
-0.01,0.22,-0.44,0.42,Oedemeronia lucidicollis
-0.01,0.21,-0.43,0.42,Oedemeronia manicata
0.03,0.21,-0.39,0.47,Olibrus aeneus
0.03,0.22,-0.39,0.47,Onomaus lautus
0.02,0.22,-0.42,0.48,Opeia obscura
-0.02,0.22,-0.47,0.4,Operophtera brumata
0.11,0.23,-0.33,0.59,Ophthalmopsylla praefecta
-0.06,0.2,-0.47,0.32,Ophthalmopsylla volgensis
-0.01,0.22,-0.47,0.42,Opisthograptis luteolata
0.09,0.22,-0.33,0.54,Oropsylla alaskensis
0.06,0.2,-0.33,0.46,Oropsylla ilovaiskii
0.18,0.22,-0.21,0.64,Oropsylla silantiewi
-0.01,0.22,-0.45,0.43,Orthosia gothica
0,0.23,-0.46,0.46,Orthosia gracilis
-0,0.23,-0.46,0.45,Oscinella vastator
0.04,0.21,-0.38,0.49,Oulema melanopus
-0.01,0.2,-0.41,0.39,Oxycetonia jucunda
0.01,0.22,-0.42,0.45,Oxythyrea funesta
0.04,0.22,-0.38,0.48,Pachytodes cometes
0.15,0.22,-0.25,0.62,Palaeopsylla kohauti
-0.26,0.17,-0.62,0.06,Palaeopsylla soricis
0.01,0.22,-0.44,0.45,Pales tecta
0.01,0.22,-0.43,0.46,Panzeria radicum
-0.03,0.22,-0.48,0.4,Paradoxopsyllus dashidorzhii
0.02,0.22,-0.43,0.49,Paradoxopsyllus hesperius
0,0.21,-0.42,0.43,Paradoxopsyllus repandus
-0.01,0.22,-0.43,0.43,Paradoxopsyllus scorodumovi
0.03,0.23,-0.42,0.5,Paradoxopsyllus teretifrons
-0.02,0.21,-0.44,0.4,Paragus jozanus
-0,0.21,-0.43,0.42,Paragus tibialis
-0.03,0.22,-0.49,0.42,Paramonopsyllus scalonae
-0.01,0.22,-0.47,0.44,Paraneopsylla ioffi
-0,0.22,-0.46,0.45,Paraphaenocladius despectus
0,0.22,-0.46,0.47,Parastrangalis nymphula
-0.07,0.21,-0.5,0.34,Parasyrphus lineola
0.01,0.23,-0.45,0.49,Parasyrphus malinellus
0,0.22,-0.45,0.44,Paratrichius doentzi
0.01,0.22,-0.44,0.45,Pareromene pyrsophanes
-0.04,0.21,-0.48,0.37,Parnara guttata
0.04,0.22,-0.38,0.48,Parus ater
-0.02,0.22,-0.49,0.4,Parus caeruleus
0,0.23,-0.45,0.46,Parus cristatus
0.02,0.23,-0.44,0.46,Parus major
-0.03,0.23,-0.49,0.42,Pasiphila inductata
0.01,0.23,-0.46,0.47,Pasiphila nereis
-0,0.23,-0.45,0.47,Pasiphila sandycias
0.1,0.23,-0.33,0.56,Pectinoctenus lauta
0.03,0.2,-0.37,0.44,Pectinoctenus nemorosa
0.05,0.21,-0.36,0.47,Pectinoctenus pavlovskii
-0.01,0.22,-0.47,0.45,Pectinoctenus pectiniceps
0,0.22,-0.43,0.44,Peleteria aenea
0.01,0.23,-0.43,0.47,Peleteria robusta
0.01,0.23,-0.44,0.46,Peremptor modica
-0.07,0.18,-0.45,0.26,Peromyscopsylla bidentata
-0.02,0.21,-0.45,0.41,Peromyscopsylla ostsibirica
0.01,0.18,-0.35,0.37,Peromyscopsylla silvatica
0,0.22,-0.44,0.46,Perrissina brunniceps
-0.08,0.22,-0.55,0.36,Phaethornis eurynome
0.03,0.22,-0.4,0.46,Phaonia angelicae
0.03,0.22,-0.4,0.47,Phaonia incana
0.04,0.21,-0.38,0.46,Philopota nigroaenea
0.05,0.23,-0.41,0.5,Phoebis sennae
0.06,0.22,-0.36,0.5,Phoenicurus ochruros
0.01,0.22,-0.43,0.46,Phoenicurus phoenicurus
0.04,0.22,-0.4,0.48,Phoetaliotes nebrascensis
0.01,0.22,-0.42,0.46,Phormia regina
0.02,0.23,-0.43,0.48,Phulia nymphula
-0.06,0.22,-0.49,0.35,Phyllopertha horticola
0.01,0.21,-0.4,0.46,Phyllopertha irregularis
0.01,0.23,-0.45,0.46,Pica pica
-0.01,0.22,-0.44,0.43,Pidonia aegrota
-0.01,0.22,-0.45,0.42,Pidonia puziloi
0.03,0.22,-0.39,0.47,Pidonia signifera
0.06,0.23,-0.38,0.53,Pieris melete
0,0.23,-0.46,0.46,Pieris napi
-0.04,0.21,-0.48,0.38,Pieris rapae
0.04,0.22,-0.38,0.48,Pipiza inornata
0.02,0.22,-0.42,0.48,Pitangus sulphuratus
0.01,0.23,-0.44,0.48,Plagiomyia turbidum
0.02,0.22,-0.41,0.47,Plagodis pulveraria
-0.15,0.21,-0.6,0.24,Platycheirus cyaneus
-0,0.23,-0.45,0.45,Platycheirus hyperboreus
-0.03,0.22,-0.49,0.41,Platycheirus lundbecki
-0,0.23,-0.46,0.45,Plemyria rubiginata
0.01,0.22,-0.42,0.46,Podabrus malthinoides
-0,0.22,-0.44,0.44,Pogoniulus bilineatus
-0,0.22,-0.46,0.42,Polistes mandarinus
0.03,0.23,-0.43,0.48,Pollenia angustigena
-0.02,0.22,-0.45,0.42,Pollenia rudis
-0.01,0.2,-0.41,0.4,Polyommatus icarus
0,0.21,-0.42,0.43,Popillia japonica
0.01,0.22,-0.43,0.46,Pristomyrmex punger
0.01,0.23,-0.45,0.48,Proscissio albiceps
0.01,0.22,-0.44,0.45,Proscissio cana
0.02,0.22,-0.43,0.46,Proscissio lateralis
0.04,0.22,-0.4,0.5,Prosopochaeta caliginosa
0.05,0.22,-0.38,0.51,Prosternon tessellatum
0,0.21,-0.42,0.43,Prothemus ciusianus
0.02,0.22,-0.43,0.46,Protohystirica huttoni
0,0.23,-0.45,0.45,Protohystricia huttoni
0.01,0.22,-0.43,0.47,Protophormia terraenovae
-0.03,0.22,-0.47,0.4,Pseudolucia chilensis
0,0.23,-0.44,0.44,Pseudomerdon takasaqoensis
0.03,0.23,-0.41,0.5,Psithyrus bohemicus
0.04,0.22,-0.39,0.49,Psithyrus campestris
0.02,0.23,-0.43,0.49,Psithyrus rupestris
0,0.22,-0.43,0.43,Psithyrus vest
0.03,0.21,-0.37,0.45,Psoloessa texana
0,0.23,-0.46,0.46,Pycnonotus barbatus
-0.01,0.23,-0.48,0.47,Ramphocelus carbo
0.01,0.23,-0.45,0.48,Ramphomyia nigrita
0.05,0.23,-0.39,0.51,Rhadinopsylla altaica
-0.01,0.22,-0.44,0.42,Rhadinopsylla angusta
0.04,0.23,-0.4,0.5,Rhadinopsylla bivirgis
-0.14,0.21,-0.58,0.25,Rhadinopsylla cedestis
-0.02,0.22,-0.46,0.4,Rhadinopsylla dahurica
-0.08,0.18,-0.45,0.27,Rhadinopsylla integella
-0.13,0.2,-0.53,0.23,Rhadinopsylla li
-0.01,0.22,-0.44,0.42,Rhadinopsylla pentacantha
0.06,0.22,-0.35,0.52,Rhadinopsylla pseudodahurica
0.05,0.21,-0.37,0.48,Rhadinopsylla rothschildi
0.03,0.23,-0.41,0.48,Rhadinopsylla socia
-0.07,0.21,-0.5,0.33,Rhadinopsylla ucrainica
0.03,0.22,-0.4,0.46,Rhagonycha fulva
-0,0.22,-0.43,0.44,Rhamphomyia filicauda
-0.08,0.21,-0.51,0.33,Rhingia campestris
0.02,0.22,-0.42,0.47,Rhingia laevigata
0.02,0.22,-0.42,0.45,Rhogogaster varipes
0.02,0.19,-0.36,0.41,Rhopalum latronum
0.02,0.23,-0.45,0.46,Rhynchites germanicus
-0,0.23,-0.48,0.47,Rictonis comma
-0.02,0.22,-0.47,0.41,Rostropsylla daca
-0.01,0.21,-0.43,0.42,Saltator similis
0.03,0.22,-0.41,0.49,Scaeva melanostoma
-0.02,0.23,-0.48,0.43,Scaeva pyrastri
-0.11,0.21,-0.54,0.3,Scaeva selenitica
-0,0.22,-0.46,0.44,Scaptia adrel
-0,0.23,-0.46,0.46,Scaptia brevipalpis
0.02,0.22,-0.4,0.46,Scathophaga stercoraria
0.03,0.23,-0.42,0.49,Scatophaga inquinata
0.03,0.22,-0.4,0.47,Scatophaga stercoraria
0,0.22,-0.43,0.45,Scoparia minisculalis
0,0.23,-0.47,0.47,Scoparia philerga
-0,0.23,-0.46,0.46,Scoparia rotuella
0.01,0.24,-0.46,0.48,Scoparia submarginalis
-0.01,0.22,-0.45,0.45,Selenia dentaria
-0.01,0.22,-0.45,0.45,Selenia lunalaria
0.03,0.22,-0.4,0.49,Selenia tetralunaria
0.03,0.23,-0.43,0.51,Sepsis cynipsea
0.01,0.23,-0.45,0.45,Sericomyia silentis
0,0.23,-0.46,0.46,Sestra flexata
0.02,0.21,-0.39,0.46,Sicus ferrugineus
0.02,0.22,-0.42,0.48,Sitona lineatus
-0.02,0.23,-0.49,0.43,Sitta europaea
-0.01,0.22,-0.46,0.44,Smerinthus ocellata
-0.04,0.22,-0.48,0.4,Spathipalpus philippii
0.02,0.22,-0.41,0.46,Sphaerophoria cylindrica
-0.11,0.19,-0.49,0.25,Sphaerophoria macrogaster
0.02,0.19,-0.36,0.4,Sphaerophoria menthastri
-0.21,0.21,-0.64,0.15,Sphaerophoria scripta
0.03,0.23,-0.43,0.48,Sphaerophoria taeniata
-0,0.22,-0.44,0.43,Sphecodes marginatus
0.01,0.22,-0.42,0.46,Sphex vulgaris
-0.01,0.22,-0.45,0.42,Spilogona denudata
-0.09,0.22,-0.52,0.32,Spilogona dorsata
-0.06,0.21,-0.5,0.35,Spilogona extensa
-0,0.22,-0.45,0.44,Spilogona melanosoma
-0.07,0.2,-0.49,0.31,Spilogona sanctipauli
-0.02,0.22,-0.47,0.42,Spilogona tornensis
0.01,0.23,-0.44,0.46,Spilogona tundrae
-0.13,0.21,-0.56,0.25,Spindalis portoricensis
-0,0.21,-0.44,0.43,Stenodynerus tokyanus tokyanus
-0.01,0.21,-0.42,0.41,Stenoluperus nipponensis
0.06,0.22,-0.37,0.52,Stenoponia conspecta
0.08,0.22,-0.34,0.53,Stenoponia ivanovi
-0.01,0.22,-0.47,0.43,Stenoponia montana
-0.04,0.22,-0.5,0.4,Stenoponia sidimi
-0.01,0.23,-0.46,0.45,Stenoponia suknevi
-0.05,0.21,-0.48,0.38,Stenoponia tripectinata
-0.02,0.22,-0.45,0.41,Stenoponia vlasovi
-0,0.22,-0.44,0.44,Stomorhina obsoleta
-0.01,0.23,-0.45,0.44,Strangalia maculata
-0,0.22,-0.43,0.44,Strangalomorpha tenuis
-0,0.22,-0.43,0.43,Strombocerina koebelei
0.01,0.22,-0.42,0.46,Strophosomus capitatus
-0.01,0.22,-0.46,0.44,Strymonidia pruni
-0.01,0.21,-0.42,0.4,Sylvia atricapilla
-0.03,0.23,-0.48,0.41,Sylvia borin
-0.03,0.22,-0.48,0.4,Sylvia cantillans
0.02,0.22,-0.43,0.47,Sylvia communis
-0.03,0.23,-0.49,0.42,Sylvia melanocephala
0,0.22,-0.44,0.45,Syrbula fuscovittata
-0.11,0.21,-0.54,0.26,Syritta pipiens
0.01,0.23,-0.45,0.45,Syrphus americanus
-0,0.23,-0.48,0.45,Syrphus octomaculatus
-0.06,0.21,-0.49,0.35,Syrphus ribesii
-0.09,0.22,-0.54,0.33,Syrphus torvus
-0.03,0.2,-0.45,0.36,Syrphus vitripennis
0.02,0.23,-0.44,0.48,Tachina grossa
0,0.22,-0.43,0.43,Tachyphonus coronatus
-0.05,0.19,-0.44,0.32,Tarsopsylla octodecimdentata
0,0.21,-0.41,0.41,Tatochila mercedis
0.01,0.22,-0.43,0.44,Taxonus fulvicornis
0,0.22,-0.42,0.43,Tenthredo convagennata
-0.01,0.23,-0.47,0.44,Tetralonia nipponens
-0.05,0.22,-0.49,0.39,Thalurania glaucopis
0,0.22,-0.45,0.46,Thanaos martialis
0.01,0.23,-0.44,0.48,Thecla betulae
0.02,0.22,-0.41,0.46,Thoressa varia
-0.02,0.22,-0.46,0.41,Thraupis sayaca
-0.01,0.21,-0.44,0.41,Thymelicus sylvestris
-0.02,0.23,-0.51,0.43,Tiaris bicolor
-0.01,0.22,-0.46,0.44,Tityra cayana
-0.01,0.23,-0.49,0.46,Todus mexicanus
0.02,0.22,-0.42,0.45,Trachys saundersi
0.08,0.22,-0.34,0.54,Tremus cyanipennis
-0,0.23,-0.47,0.43,Trichiura crataegi
0.03,0.22,-0.41,0.47,Trichius affinis
0.07,0.22,-0.34,0.52,Trichothraupis melanops
-0.14,0.21,-0.59,0.25,Trimerotropis pallidipennis
0.05,0.23,-0.4,0.5,Triphosa dubitata
0.02,0.22,-0.43,0.48,Tropidia scitta
-0.03,0.22,-0.49,0.4,Turdus amaurochalinus
-0.13,0.22,-0.57,0.27,Turdus iliacus
-0,0.22,-0.44,0.45,Turdus leucomelas
-0.02,0.21,-0.44,0.4,Turdus merula
-0.24,0.23,-0.72,0.17,Turdus philomelos
0.1,0.23,-0.32,0.58,Turdus pilaris
0.05,0.22,-0.38,0.48,Turdus plumbeus
0.02,0.22,-0.4,0.48,Turdus rufiventris
0.04,0.21,-0.38,0.47,Turdus torquatus
-0.09,0.22,-0.55,0.34,Turdus viscivorus
-0.01,0.22,-0.46,0.41,Tyrannus caudifasciatus
-0.03,0.22,-0.48,0.39,Tyrannus dominicensis
0.03,0.22,-0.4,0.46,Tyrannus melancholicus
-0.03,0.23,-0.48,0.42,Tyrannus savanna
0,0.22,-0.44,0.45,Veluta albicincta
0.01,0.22,-0.43,0.44,Vespa analis insularis
0.06,0.21,-0.34,0.49,Vespa xanthoptera
0.01,0.22,-0.44,0.46,Vespula schrenckii
0.09,0.22,-0.34,0.54,Vespula vulgaris
0.03,0.23,-0.4,0.49,Villa flavicura
0.02,0.22,-0.4,0.46,Villa gayi
0.04,0.22,-0.39,0.48,Villa hypoxantha
-0.03,0.22,-0.46,0.38,Villa semifuscata
-0.03,0.22,-0.47,0.4,Villa verdensis
0.08,0.2,-0.3,0.49,Vireo altiloquous
0.04,0.23,-0.41,0.5,Vireo flavirostris
-0,0.23,-0.46,0.45,Vireo latimeri
0.04,0.22,-0.39,0.51,Vireo olivaceus
0.02,0.23,-0.44,0.48,Vollucella tabanoides
0.05,0.22,-0.38,0.49,Volucella bombylans
-0.05,0.22,-0.5,0.38,Volucella pellucens
-0.01,0.21,-0.43,0.42,Vuilletus viridissllis
0.01,0.21,-0.4,0.45,Wagnerina schelkovnikovi
0.02,0.22,-0.42,0.46,Wasmannia auropunctata
-0.07,0.22,-0.54,0.36,Xenopsylla cheopis
0,0.19,-0.39,0.38,Xenopsylla conformis
0,0.21,-0.42,0.41,Xenopsylla gerbilli
0.07,0.21,-0.35,0.5,Xenopsylla hirtipes
-0.01,0.22,-0.45,0.43,Xenopsylla nuttalli
0.01,0.22,-0.42,0.47,Xenopsylla persica
-0.05,0.21,-0.47,0.34,Xenopsylla skrjabini
0.04,0.22,-0.39,0.48,Xylocopa appendiculata circumvolan
-0.04,0.24,-0.52,0.41,Xylocopa darwini
0.01,0.22,-0.42,0.45,Xylota angustiventris
0.01,0.22,-0.45,0.46,Xylota montana
0,0.22,-0.44,0.44,Yramea lathonoides
0.05,0.22,-0.38,0.51,Yramea modesta
-0,0.23,-0.44,0.44,Zaphne frontata
0,0.22,-0.43,0.44,Zaraea fasciata
0.01,0.22,-0.43,0.47,Zealandotachina nigrifemorata
-0,0.23,-0.47,0.44,Zealandotachina quadrivittata
-0,0.23,-0.45,0.46,Zealandotachina subtilis
0.03,0.22,-0.39,0.47,Zeugophora annulata
0.01,0.23,-0.43,0.47,Zorion minutum
-0.01,0.21,-0.44,0.42,Zygaena filipendulae
-0.01,0.22,-0.45,0.42,Zygaena trifolii
