Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,species_2
-0.07,0.19,-0.46,0.29,Neopsylla setosa
0.07,0.2,-0.32,0.49,Neopsylla teratura
0,0.22,-0.44,0.45,Nipponovalgus angusticollis
-0.01,0.23,-0.47,0.43,Nola cucullatella
-0,0.22,-0.44,0.42,Nomada ginran
-0.05,0.23,-0.53,0.43,Nomada luteola
0.02,0.23,-0.43,0.49,Nomada rufipes
0.05,0.22,-0.4,0.48,Nomada shepparadana okubira
-0.06,0.2,-0.45,0.32,Nonartha cyaneum
0.03,0.21,-0.41,0.45,Nosopsyllus aralis
-0.04,0.19,-0.41,0.33,Nosopsyllus consimilis
0.1,0.21,-0.31,0.53,Nosopsyllus fasciatus
-0.01,0.21,-0.42,0.4,Nosopsyllus fidus
0.03,0.21,-0.39,0.45,Nosopsyllus iranus
0.03,0.2,-0.36,0.44,Nosopsyllus laeviceps
-0.02,0.2,-0.43,0.38,Nosopsyllus mokrzeckyi
0.04,0.21,-0.38,0.47,Nosopsyllus tersus
-0.03,0.22,-0.47,0.39,Nosopsyllus turkmenicus
0.01,0.23,-0.44,0.46,Notoreas cataphyrrha
-0.08,0.22,-0.53,0.32,Nysius groenlandicus
0.04,0.23,-0.43,0.5,Ochlodes venata
-0.01,0.23,-0.45,0.44,Odontopera bidentata
-0.05,0.22,-0.51,0.38,Oedemera flavipes
0.03,0.21,-0.39,0.47,Oedemera lurida
-0.01,0.22,-0.45,0.43,Oedemeronia lucidicollis
-0.01,0.21,-0.41,0.41,Oedemeronia manicata
0.03,0.22,-0.41,0.47,Olibrus aeneus
0.03,0.21,-0.39,0.45,Onomaus lautus
0.02,0.22,-0.42,0.46,Opeia obscura
-0.03,0.22,-0.49,0.42,Operophtera brumata
0.11,0.23,-0.32,0.58,Ophthalmopsylla praefecta
-0.06,0.2,-0.47,0.35,Ophthalmopsylla volgensis
-0.01,0.22,-0.46,0.42,Opisthograptis luteolata
0.09,0.22,-0.33,0.58,Oropsylla alaskensis
0.06,0.2,-0.34,0.46,Oropsylla ilovaiskii
0.18,0.22,-0.23,0.62,Oropsylla silantiewi
-0.01,0.22,-0.46,0.4,Orthosia gothica
0,0.22,-0.44,0.44,Orthosia gracilis
-0,0.22,-0.46,0.45,Oscinella vastator
0.04,0.23,-0.41,0.5,Oulema melanopus
-0.01,0.2,-0.42,0.39,Oxycetonia jucunda
0.02,0.23,-0.45,0.47,Oxythyrea funesta
0.04,0.21,-0.37,0.46,Pachytodes cometes
0.15,0.23,-0.27,0.65,Palaeopsylla kohauti
-0.26,0.17,-0.61,0.05,Palaeopsylla soricis
0.01,0.22,-0.42,0.46,Pales tecta
0.01,0.22,-0.44,0.47,Panzeria radicum
-0.03,0.23,-0.51,0.4,Paradoxopsyllus dashidorzhii
0.02,0.23,-0.42,0.48,Paradoxopsyllus hesperius
-0,0.22,-0.43,0.43,Paradoxopsyllus repandus
-0.01,0.22,-0.46,0.43,Paradoxopsyllus scorodumovi
0.04,0.23,-0.42,0.5,Paradoxopsyllus teretifrons
-0.02,0.22,-0.44,0.41,Paragus jozanus
-0,0.21,-0.42,0.42,Paragus tibialis
-0.03,0.21,-0.47,0.39,Paramonopsyllus scalonae
-0.01,0.23,-0.47,0.44,Paraneopsylla ioffi
-0.01,0.22,-0.45,0.44,Paraphaenocladius despectus
0.01,0.21,-0.4,0.43,Parastrangalis nymphula
-0.06,0.22,-0.52,0.35,Parasyrphus lineola
0.01,0.23,-0.46,0.47,Parasyrphus malinellus
0.01,0.22,-0.44,0.45,Paratrichius doentzi
0,0.22,-0.45,0.44,Pareromene pyrsophanes
-0.04,0.21,-0.45,0.36,Parnara guttata
0.04,0.21,-0.38,0.46,Parus ater
-0.03,0.23,-0.49,0.4,Parus caeruleus
-0,0.22,-0.46,0.44,Parus cristatus
0.01,0.22,-0.42,0.45,Parus major
-0.03,0.22,-0.46,0.39,Pasiphila inductata
0.01,0.23,-0.45,0.46,Pasiphila nereis
0,0.22,-0.45,0.45,Pasiphila sandycias
0.09,0.22,-0.33,0.55,Pectinoctenus lauta
0.03,0.2,-0.37,0.44,Pectinoctenus nemorosa
0.04,0.21,-0.38,0.47,Pectinoctenus pavlovskii
-0.01,0.22,-0.45,0.43,Pectinoctenus pectiniceps
0,0.22,-0.43,0.44,Peleteria aenea
0.01,0.23,-0.44,0.48,Peleteria robusta
0.01,0.22,-0.44,0.47,Peremptor modica
-0.08,0.17,-0.42,0.27,Peromyscopsylla bidentata
-0.01,0.22,-0.46,0.43,Peromyscopsylla ostsibirica
0.01,0.18,-0.35,0.38,Peromyscopsylla silvatica
0.01,0.23,-0.46,0.47,Perrissina brunniceps
-0.09,0.22,-0.55,0.33,Phaethornis eurynome
0.02,0.22,-0.43,0.45,Phaonia angelicae
0.03,0.22,-0.4,0.47,Phaonia incana
0.04,0.21,-0.39,0.49,Philopota nigroaenea
0.04,0.22,-0.4,0.5,Phoebis sennae
0.06,0.23,-0.37,0.53,Phoenicurus ochruros
0.01,0.22,-0.42,0.47,Phoenicurus phoenicurus
0.04,0.23,-0.4,0.49,Phoetaliotes nebrascensis
0.01,0.22,-0.42,0.47,Phormia regina
0.01,0.22,-0.43,0.44,Phulia nymphula
-0.06,0.21,-0.5,0.34,Phyllopertha horticola
0.02,0.22,-0.42,0.46,Phyllopertha irregularis
0,0.23,-0.45,0.47,Pica pica
-0.01,0.21,-0.47,0.41,Pidonia aegrota
-0.01,0.22,-0.43,0.41,Pidonia puziloi
0.03,0.22,-0.4,0.48,Pidonia signifera
0.07,0.22,-0.36,0.53,Pieris melete
0,0.22,-0.45,0.43,Pieris napi
-0.05,0.22,-0.49,0.39,Pieris rapae
0.05,0.22,-0.38,0.49,Pipiza inornata
0.02,0.22,-0.4,0.46,Pitangus sulphuratus
0.01,0.23,-0.46,0.47,Plagiomyia turbidum
0.02,0.23,-0.43,0.5,Plagodis pulveraria
-0.15,0.21,-0.59,0.24,Platycheirus cyaneus
0,0.23,-0.44,0.45,Platycheirus hyperboreus
-0.02,0.22,-0.46,0.41,Platycheirus lundbecki
-0,0.22,-0.44,0.44,Plemyria rubiginata
0.01,0.23,-0.45,0.46,Podabrus malthinoides
0,0.23,-0.46,0.46,Pogoniulus bilineatus
-0,0.21,-0.42,0.42,Polistes mandarinus
0.02,0.23,-0.44,0.47,Pollenia angustigena
-0.02,0.22,-0.48,0.42,Pollenia rudis
-0.01,0.2,-0.41,0.39,Polyommatus icarus
0.01,0.21,-0.42,0.43,Popillia japonica
0.02,0.23,-0.43,0.49,Pristomyrmex punger
0.01,0.23,-0.43,0.46,Proscissio albiceps
0.01,0.23,-0.45,0.46,Proscissio cana
0.01,0.23,-0.44,0.47,Proscissio lateralis
0.03,0.23,-0.39,0.5,Prosopochaeta caliginosa
0.05,0.22,-0.38,0.51,Prosternon tessellatum
0.01,0.22,-0.44,0.46,Prothemus ciusianus
0.01,0.22,-0.42,0.46,Protohystirica huttoni
0.01,0.23,-0.44,0.46,Protohystricia huttoni
0.01,0.23,-0.46,0.47,Protophormia terraenovae
-0.02,0.23,-0.48,0.42,Pseudolucia chilensis
0.01,0.22,-0.43,0.45,Pseudomerdon takasaqoensis
0.04,0.22,-0.4,0.5,Psithyrus bohemicus
0.04,0.23,-0.41,0.5,Psithyrus campestris
0.02,0.22,-0.42,0.48,Psithyrus rupestris
0,0.22,-0.42,0.44,Psithyrus vest
0.03,0.22,-0.39,0.48,Psoloessa texana
0.01,0.23,-0.44,0.46,Pycnonotus barbatus
-0,0.23,-0.46,0.46,Ramphocelus carbo
0.01,0.22,-0.44,0.45,Ramphomyia nigrita
0.05,0.22,-0.37,0.5,Rhadinopsylla altaica
-0.01,0.23,-0.46,0.45,Rhadinopsylla angusta
0.03,0.22,-0.39,0.48,Rhadinopsylla bivirgis
-0.14,0.2,-0.56,0.23,Rhadinopsylla cedestis
-0.02,0.22,-0.46,0.4,Rhadinopsylla dahurica
-0.08,0.18,-0.45,0.27,Rhadinopsylla integella
-0.13,0.19,-0.53,0.24,Rhadinopsylla li
-0,0.2,-0.4,0.39,Rhadinopsylla pentacantha
0.06,0.22,-0.34,0.5,Rhadinopsylla pseudodahurica
0.05,0.22,-0.37,0.49,Rhadinopsylla rothschildi
0.03,0.23,-0.42,0.47,Rhadinopsylla socia
-0.07,0.22,-0.53,0.37,Rhadinopsylla ucrainica
0.03,0.21,-0.41,0.46,Rhagonycha fulva
-0.01,0.22,-0.47,0.44,Rhamphomyia filicauda
-0.08,0.21,-0.51,0.32,Rhingia campestris
0.01,0.22,-0.43,0.46,Rhingia laevigata
0.02,0.22,-0.43,0.47,Rhogogaster varipes
0.03,0.2,-0.36,0.43,Rhopalum latronum
0.02,0.23,-0.42,0.5,Rhynchites germanicus
-0,0.24,-0.47,0.47,Rictonis comma
-0.02,0.22,-0.47,0.41,Rostropsylla daca
-0,0.22,-0.44,0.44,Saltator similis
0.03,0.22,-0.43,0.47,Scaeva melanostoma
-0.01,0.21,-0.45,0.4,Scaeva pyrastri
-0.11,0.22,-0.57,0.29,Scaeva selenitica
-0,0.22,-0.45,0.45,Scaptia adrel
0,0.22,-0.42,0.44,Scaptia brevipalpis
0.03,0.22,-0.41,0.49,Scathophaga stercoraria
0.03,0.23,-0.41,0.49,Scatophaga inquinata
0.02,0.22,-0.42,0.48,Scatophaga stercoraria
0,0.22,-0.45,0.45,Scoparia minisculalis
0,0.23,-0.46,0.46,Scoparia philerga
0,0.23,-0.46,0.46,Scoparia rotuella
0.01,0.23,-0.47,0.46,Scoparia submarginalis
0,0.22,-0.43,0.44,Selenia dentaria
-0.01,0.23,-0.48,0.46,Selenia lunalaria
0.03,0.22,-0.42,0.49,Selenia tetralunaria
0.03,0.22,-0.41,0.47,Sepsis cynipsea
0.01,0.23,-0.44,0.47,Sericomyia silentis
0.01,0.23,-0.44,0.47,Sestra flexata
0.03,0.22,-0.39,0.46,Sicus ferrugineus
0.02,0.22,-0.43,0.46,Sitona lineatus
-0.02,0.22,-0.47,0.44,Sitta europaea
-0.01,0.23,-0.48,0.45,Smerinthus ocellata
-0.04,0.22,-0.49,0.4,Spathipalpus philippii
0.02,0.22,-0.42,0.45,Sphaerophoria cylindrica
-0.11,0.19,-0.5,0.25,Sphaerophoria macrogaster
0.02,0.2,-0.35,0.43,Sphaerophoria menthastri
-0.21,0.21,-0.65,0.15,Sphaerophoria scripta
0.03,0.23,-0.41,0.49,Sphaerophoria taeniata
-0.01,0.22,-0.47,0.44,Sphecodes marginatus
0.02,0.22,-0.43,0.49,Sphex vulgaris
-0.01,0.22,-0.44,0.42,Spilogona denudata
-0.09,0.22,-0.54,0.32,Spilogona dorsata
-0.05,0.22,-0.49,0.39,Spilogona extensa
0,0.22,-0.44,0.46,Spilogona melanosoma
-0.07,0.22,-0.53,0.34,Spilogona sanctipauli
-0.02,0.23,-0.47,0.44,Spilogona tornensis
0.01,0.22,-0.43,0.46,Spilogona tundrae
-0.13,0.21,-0.57,0.26,Spindalis portoricensis
-0,0.23,-0.45,0.45,Stenodynerus tokyanus tokyanus
-0.01,0.21,-0.44,0.42,Stenoluperus nipponensis
0.06,0.22,-0.36,0.5,Stenoponia conspecta
0.07,0.23,-0.37,0.54,Stenoponia ivanovi
-0.01,0.23,-0.47,0.45,Stenoponia montana
-0.04,0.23,-0.49,0.41,Stenoponia sidimi
-0,0.22,-0.44,0.44,Stenoponia suknevi
-0.05,0.22,-0.48,0.37,Stenoponia tripectinata
-0.02,0.21,-0.45,0.4,Stenoponia vlasovi
0,0.22,-0.47,0.45,Stomorhina obsoleta
-0.01,0.23,-0.48,0.44,Strangalia maculata
-0,0.22,-0.43,0.43,Strangalomorpha tenuis
-0,0.22,-0.46,0.44,Strombocerina koebelei
0.01,0.23,-0.45,0.48,Strophosomus capitatus
-0.01,0.23,-0.46,0.45,Strymonidia pruni
-0.01,0.22,-0.47,0.43,Sylvia atricapilla
-0.03,0.24,-0.52,0.44,Sylvia borin
-0.03,0.23,-0.49,0.43,Sylvia cantillans
0.01,0.23,-0.44,0.47,Sylvia communis
-0.03,0.24,-0.52,0.46,Sylvia melanocephala
0,0.22,-0.42,0.44,Syrbula fuscovittata
-0.12,0.21,-0.55,0.27,Syritta pipiens
0.01,0.22,-0.44,0.46,Syrphus americanus
-0.01,0.22,-0.46,0.45,Syrphus octomaculatus
-0.07,0.21,-0.5,0.32,Syrphus ribesii
-0.09,0.21,-0.51,0.32,Syrphus torvus
-0.03,0.21,-0.46,0.37,Syrphus vitripennis
0.02,0.22,-0.43,0.47,Tachina grossa
0,0.22,-0.43,0.43,Tachyphonus coronatus
-0.06,0.2,-0.47,0.32,Tarsopsylla octodecimdentata
0.02,0.23,-0.44,0.47,Tatochila mercedis
0,0.22,-0.44,0.45,Taxonus fulvicornis
0,0.22,-0.46,0.46,Tenthredo convagennata
-0.01,0.23,-0.46,0.44,Tetralonia nipponens
-0.05,0.22,-0.5,0.38,Thalurania glaucopis
0,0.23,-0.45,0.46,Thanaos martialis
0.02,0.22,-0.42,0.48,Thecla betulae
0.02,0.22,-0.41,0.47,Thoressa varia
-0.03,0.23,-0.5,0.42,Thraupis sayaca
-0.01,0.23,-0.44,0.46,Thymelicus sylvestris
-0.03,0.23,-0.5,0.45,Tiaris bicolor
-0.01,0.22,-0.46,0.42,Tityra cayana
-0.01,0.22,-0.46,0.43,Todus mexicanus
0.02,0.22,-0.4,0.46,Trachys saundersi
0.08,0.23,-0.36,0.54,Tremus cyanipennis
-0,0.23,-0.44,0.45,Trichiura crataegi
0.03,0.22,-0.39,0.49,Trichius affinis
0.07,0.22,-0.35,0.54,Trichothraupis melanops
-0.14,0.21,-0.59,0.26,Trimerotropis pallidipennis
0.05,0.22,-0.38,0.49,Triphosa dubitata
0.02,0.23,-0.44,0.49,Tropidia scitta
-0.03,0.23,-0.48,0.4,Turdus amaurochalinus
-0.14,0.22,-0.59,0.26,Turdus iliacus
-0,0.22,-0.46,0.44,Turdus leucomelas
-0.02,0.21,-0.47,0.4,Turdus merula
-0.24,0.23,-0.74,0.16,Turdus philomelos
0.1,0.23,-0.34,0.59,Turdus pilaris
0.04,0.22,-0.38,0.48,Turdus plumbeus
0.02,0.22,-0.41,0.47,Turdus rufiventris
0.05,0.21,-0.39,0.48,Turdus torquatus
-0.09,0.22,-0.55,0.33,Turdus viscivorus
-0.01,0.22,-0.45,0.42,Tyrannus caudifasciatus
-0.04,0.22,-0.48,0.39,Tyrannus dominicensis
0.03,0.22,-0.42,0.48,Tyrannus melancholicus
-0.03,0.22,-0.47,0.42,Tyrannus savanna
0,0.23,-0.45,0.45,Veluta albicincta
0,0.22,-0.44,0.46,Vespa analis insularis
0.07,0.2,-0.32,0.46,Vespa xanthoptera
0.01,0.22,-0.43,0.44,Vespula schrenckii
0.09,0.22,-0.32,0.55,Vespula vulgaris
0.03,0.22,-0.41,0.47,Villa flavicura
0.02,0.23,-0.43,0.49,Villa gayi
0.04,0.23,-0.41,0.5,Villa hypoxantha
-0.03,0.22,-0.48,0.39,Villa semifuscata
-0.04,0.21,-0.46,0.38,Villa verdensis
0.08,0.2,-0.31,0.48,Vireo altiloquous
0.03,0.23,-0.43,0.51,Vireo flavirostris
-0,0.22,-0.45,0.47,Vireo latimeri
0.04,0.23,-0.41,0.49,Vireo olivaceus
0.02,0.22,-0.41,0.46,Vollucella tabanoides
0.05,0.22,-0.36,0.48,Volucella bombylans
-0.05,0.22,-0.49,0.38,Volucella pellucens
-0.01,0.22,-0.44,0.43,Vuilletus viridissllis
0.01,0.22,-0.42,0.46,Wagnerina schelkovnikovi
0.02,0.23,-0.42,0.48,Wasmannia auropunctata
-0.07,0.22,-0.52,0.37,Xenopsylla cheopis
-0,0.19,-0.39,0.39,Xenopsylla conformis
-0,0.21,-0.42,0.41,Xenopsylla gerbilli
0.07,0.21,-0.35,0.52,Xenopsylla hirtipes
-0.01,0.22,-0.45,0.44,Xenopsylla nuttalli
0.01,0.23,-0.45,0.48,Xenopsylla persica
-0.05,0.21,-0.47,0.36,Xenopsylla skrjabini
0.04,0.22,-0.38,0.49,Xylocopa appendiculata circumvolan
-0.04,0.23,-0.52,0.41,Xylocopa darwini
0.01,0.23,-0.44,0.47,Xylota angustiventris
0,0.22,-0.45,0.45,Xylota montana
-0,0.22,-0.45,0.45,Yramea lathonoides
0.05,0.22,-0.37,0.49,Yramea modesta
-0,0.23,-0.44,0.43,Zaphne frontata
0,0.23,-0.47,0.46,Zaraea fasciata
0,0.22,-0.43,0.45,Zealandotachina nigrifemorata
-0,0.23,-0.46,0.45,Zealandotachina quadrivittata
0,0.23,-0.44,0.46,Zealandotachina subtilis
0.04,0.22,-0.39,0.49,Zeugophora annulata
0.01,0.22,-0.44,0.47,Zorion minutum
-0.01,0.22,-0.45,0.44,Zygaena filipendulae
-0.01,0.22,-0.44,0.46,Zygaena trifolii
